samplename	fusion_reads
IGG-cf_R1_001	285
QCF1_R1_001	56446
QCF2_R1_001	44364
Qcf10_R1_001	165928
Qcf4_R1_001	144559
Qcf5_R1_001	104371
Qcf6_SS_R1_001	123502
Qcf7_R1_001	167780
Qcf8_R1_001	151018
Qcf9_R1_001	120227
Qcf_All1_R1_001	143322
Qcf_DE1_R1_001	253286
Qcf_ED1_R1_001	111219
Qcf_Exo1_R1_001	173784
Qcf_Frag1_R1_001	140057
Qcf_Frag2_R1_001	163134
Qcf_HS1_R1_001	12973
Qcf_HS2_R1_001	95234
Qcf_HS3_R1_001	119006
Qcf_L1_R1_001	286466
Qcf_L2_R1_001	371877
Qcf_NA2_R1_001	183004
Qcf_Na1_R1_001	248650
S96-cfD_R1_001	13252
S96-cf_R1_001	14943
genome-sim_R1_001	392
